query_id,city,query_type,target_aspect,target_role,query_text_zh,query_en_target,hotel_id,hotel_name,sentence_id,sentence_text,sentence_aspect,sentence_sentiment,review_id,relevance,aspect_match,polarity_match,notes,pooled_from
q001,Anaheim,single_aspect,location_transport,focus,我想在Anaheim找一家位置交通比较好的酒店。,hotel in Anaheim with convenient location and transportation,bfb10d66f821,TownePlace Suites Anaheim Maingate Near Angel Stadium,58a03e970d581959_s003,"We didn't have a car, but utilized the Anaheim Resort Transit.",location_transport,positive,58a03e970d581959,,,,,aspect_main_fallback_rerank;aspect_main_rerank
q001,Anaheim,single_aspect,location_transport,focus,我想在Anaheim找一家位置交通比较好的酒店。,hotel in Anaheim with convenient location and transportation,bfb10d66f821,TownePlace Suites Anaheim Maingate Near Angel Stadium,68d99b391b76ab76_s000,"Very very conveniently located to Honda Center, Anaheim stadium, restaurants, Starbucks.",location_transport,positive,68d99b391b76ab76,,,,,aspect_main_fallback_rerank;aspect_main_no_rerank;aspect_main_rerank;plain_city_test_rerank
q001,Anaheim,single_aspect,location_transport,focus,我想在Anaheim找一家位置交通比较好的酒店。,hotel in Anaheim with convenient location and transportation,bfb10d66f821,TownePlace Suites Anaheim Maingate Near Angel Stadium,77d425dd3d48b096_s000,Towne Place Suites is a great place to stay while visiting Anaheim.,general,positive,77d425dd3d48b096,,,,,plain_city_test_rerank
q001,Anaheim,single_aspect,location_transport,focus,我想在Anaheim找一家位置交通比较好的酒店。,hotel in Anaheim with convenient location and transportation,bfb10d66f821,TownePlace Suites Anaheim Maingate Near Angel Stadium,0dd1db6f8e5e26ee_s005,Thanks for choosing the TownePlace Suites Anaheim near Maingate!,location_transport,positive,0dd1db6f8e5e26ee,,,,,aspect_main_fallback_rerank;aspect_main_no_rerank;aspect_main_rerank;plain_city_test_rerank
q001,Anaheim,single_aspect,location_transport,focus,我想在Anaheim找一家位置交通比较好的酒店。,hotel in Anaheim with convenient location and transportation,bfb10d66f821,TownePlace Suites Anaheim Maingate Near Angel Stadium,a8cb3a7dae77e79b_s012,Thanks for choosing the TownePlace Suites in Anaheim!,general,positive,a8cb3a7dae77e79b,,,,,plain_city_test_rerank
q001,Anaheim,single_aspect,location_transport,focus,我想在Anaheim找一家位置交通比较好的酒店。,hotel in Anaheim with convenient location and transportation,bfb10d66f821,TownePlace Suites Anaheim Maingate Near Angel Stadium,c13ef91c9f4d4d8d_s001,Location of the hotel is good with several restaurants located within walking distance.,location_transport,positive,c13ef91c9f4d4d8d,,,,,aspect_main_fallback_rerank;aspect_main_rerank
q001,Anaheim,single_aspect,location_transport,focus,我想在Anaheim找一家位置交通比较好的酒店。,hotel in Anaheim with convenient location and transportation,bfb10d66f821,TownePlace Suites Anaheim Maingate Near Angel Stadium,58a03e970d581959_s000,"When: April 2-5, 20083 GuestsA very convenient location to Angels Stadium and the Honda Center.",location_transport,positive,58a03e970d581959,,,,,aspect_main_no_rerank
q001,Anaheim,single_aspect,location_transport,focus,我想在Anaheim找一家位置交通比较好的酒店。,hotel in Anaheim with convenient location and transportation,bfb10d66f821,TownePlace Suites Anaheim Maingate Near Angel Stadium,2f4023bae79f0105_s008,Thank you for staying at the TownePlace Suites Anaheim Maingate Near Angel Stadium and we hope you choose to create more memories with us whenever your travels bring you back to Anaheim.,location_transport,positive,2f4023bae79f0105,,,,,aspect_main_no_rerank
q001,Anaheim,single_aspect,location_transport,focus,我想在Anaheim找一家位置交通比较好的酒店。,hotel in Anaheim with convenient location and transportation,bfb10d66f821,TownePlace Suites Anaheim Maingate Near Angel Stadium,748a79568a9e9fa0_s014,Thank you for staying at the TownePlace Suites Anaheim Maingate Near Angel Stadium and we hope you choose to create more memories withus whenever your travels bring you back to Anaheim.,location_transport,positive,748a79568a9e9fa0,,,,,aspect_main_fallback_rerank;aspect_main_rerank;plain_city_test_rerank
q001,Anaheim,single_aspect,location_transport,focus,我想在Anaheim找一家位置交通比较好的酒店。,hotel in Anaheim with convenient location and transportation,bfb10d66f821,TownePlace Suites Anaheim Maingate Near Angel Stadium,d26e2581168b48cd_s008,Thank you for staying at the TownePlace Suites Anaheim Maingate Near Angel Stadium and we hope you choose to create more memories with us whenever your travels bring you back to Anaheim.,location_transport,positive,d26e2581168b48cd,,,,,aspect_main_no_rerank
q006,Atlanta,single_aspect,cleanliness,focus,我想在Atlanta找一家卫生干净比较好的酒店。,hotel in Atlanta with clean and hygienic rooms,72a9d2fbc96c,Georgia Tech Hotel Conference Center,4f7e030a6132d7b7_s000,Very clean hotel.,cleanliness,positive,4f7e030a6132d7b7,,,,,aspect_main_fallback_rerank;aspect_main_no_rerank;aspect_main_rerank;plain_city_test_rerank
q006,Atlanta,single_aspect,cleanliness,focus,我想在Atlanta找一家卫生干净比较好的酒店。,hotel in Atlanta with clean and hygienic rooms,72a9d2fbc96c,Georgia Tech Hotel Conference Center,e22a5ff4dbceef13_s002,Room was very clean and comfortable.,cleanliness,positive,e22a5ff4dbceef13,,,,,aspect_main_fallback_rerank;aspect_main_no_rerank;aspect_main_rerank;plain_city_test_rerank
q006,Atlanta,single_aspect,cleanliness,focus,我想在Atlanta找一家卫生干净比较好的酒店。,hotel in Atlanta with clean and hygienic rooms,72a9d2fbc96c,Georgia Tech Hotel Conference Center,d3fba028798a6643_s002,"Last of all, the room was comfortable and Very Clean!",cleanliness,positive,d3fba028798a6643,,,,,aspect_main_fallback_rerank;aspect_main_no_rerank;aspect_main_rerank
q006,Atlanta,single_aspect,cleanliness,focus,我想在Atlanta找一家卫生干净比较好的酒店。,hotel in Atlanta with clean and hygienic rooms,bd1ba974bf11,Residence Inn Atlanta Midtown/Peachtree at 17th,877849bcb709f0bd_s000,The hotel is not bad.,general,neutral,877849bcb709f0bd,,,,,plain_city_test_rerank
q006,Atlanta,single_aspect,cleanliness,focus,我想在Atlanta找一家卫生干净比较好的酒店。,hotel in Atlanta with clean and hygienic rooms,e73773333429,The Westin Atlanta Airport,aeecdc107fc6ff26_s001,Room is dated but not dirty.,cleanliness,neutral,aeecdc107fc6ff26,,,,,aspect_main_fallback_rerank;aspect_main_no_rerank;aspect_main_rerank
q006,Atlanta,single_aspect,cleanliness,focus,我想在Atlanta找一家卫生干净比较好的酒店。,hotel in Atlanta with clean and hygienic rooms,72a9d2fbc96c,Georgia Tech Hotel Conference Center,e22a5ff4dbceef13_s000,this hotel is in a great location.,location_transport,positive,e22a5ff4dbceef13,,,,,plain_city_test_rerank
q006,Atlanta,single_aspect,cleanliness,focus,我想在Atlanta找一家卫生干净比较好的酒店。,hotel in Atlanta with clean and hygienic rooms,bd1ba974bf11,Residence Inn Atlanta Midtown/Peachtree at 17th,76057ec5178623be_s003,"The hotel is a serviceable Residence Inn with a clean, plain lobby.",cleanliness,positive,76057ec5178623be,,,,,aspect_main_no_rerank
q006,Atlanta,single_aspect,cleanliness,focus,我想在Atlanta找一家卫生干净比较好的酒店。,hotel in Atlanta with clean and hygienic rooms,72a9d2fbc96c,Georgia Tech Hotel Conference Center,50cd75dba3bd3f7e_s003,"The area felt safe, and the hotel was clean and the staff pleasant.",location_transport,positive,50cd75dba3bd3f7e,,,,,plain_city_test_rerank
q006,Atlanta,single_aspect,cleanliness,focus,我想在Atlanta找一家卫生干净比较好的酒店。,hotel in Atlanta with clean and hygienic rooms,72a9d2fbc96c,Georgia Tech Hotel Conference Center,8cb0461386a27538_s004,The room was clean and very nicely put together.,cleanliness,positive,8cb0461386a27538,,,,,aspect_main_fallback_rerank;aspect_main_rerank
q011,Chicago,single_aspect,service,focus,我想在Chicago找一家服务比较好的酒店。,hotel in Chicago with helpful and reliable service,79c2d98fa1cb,Chicago Marriott at Medical District/UIC,9506495343631d63_s008,The hotel was clean and very welcoming.,cleanliness,positive,9506495343631d63,,,,,plain_city_test_rerank
q011,Chicago,single_aspect,service,focus,我想在Chicago找一家服务比较好的酒店。,hotel in Chicago with helpful and reliable service,79c2d98fa1cb,Chicago Marriott at Medical District/UIC,9bb9606134929856_s011,The food was excellent as was the service and all reasonably priced for Chicago.,service,positive,9bb9606134929856,,,,,aspect_main_no_rerank
