query_id,group_id,hotel_id,aspect,sentence_id,reason_text,citation_exists,in_current_evidence_pack,support_score,notes
q001,B_peft_4b_grounded,bfb10d66f821,location_transport,68d99b391b76ab76_s000,位置极佳，靠近Honda Center和Anaheim Stadium。,1,1,2,
q001,B_peft_4b_grounded,bfb10d66f821,location_transport,58a03e970d581959_s000,步行即可到达Angel Stadium和Honda Center。,1,1,2,
q002,B_peft_4b_grounded,bfb10d66f821,cleanliness,748a79568a9e9fa0_s002,房间干净舒适，环境安静。,1,1,2,
q002,B_peft_4b_grounded,bfb10d66f821,location_transport,68d99b391b76ab76_s000,位置便利，靠近体育场和餐厅。,1,1,2,
q003,B_peft_4b_grounded,bfb10d66f821,quiet_sleep,a50fcbdf6353e969_s010,要求换房后休息非常安静。,1,1,2,
q003,B_peft_4b_grounded,bfb10d66f821,service,2243716f0809f255_s002,员工友好且乐于助人。,1,1,2,
q006,B_peft_4b_grounded,72a9d2fbc96c,cleanliness,e22a5ff4dbceef13_s002,房间非常干净舒适。,1,1,2,
q006,B_peft_4b_grounded,72a9d2fbc96c,cleanliness,4f7e030a6132d7b7_s000,整体卫生状况极佳。,1,1,2,
q006,B_peft_4b_grounded,bd1ba974bf11,cleanliness,a9b0347bca5861dc_s001,房间干净舒适。,1,1,2,
q006,B_peft_4b_grounded,bd1ba974bf11,cleanliness,789e445a28355d5c_s004,设施齐全且保持清洁。,1,1,2,
q007,B_peft_4b_grounded,72a9d2fbc96c,cleanliness,e22a5ff4dbceef13_s002,房间非常干净舒适。,1,1,2,
q007,B_peft_4b_grounded,72a9d2fbc96c,service,4f7e030a6132d7b7_s005,前台员工友好且乐于助人。,1,1,2,
q007,B_peft_4b_grounded,bd1ba974bf11,cleanliness,a9b0347bca5861dc_s001,房间干净舒适。,1,1,2,
q007,B_peft_4b_grounded,bd1ba974bf11,service,877849bcb709f0bd_s002,员工友好且乐于助人。,1,1,2,
