query_id,group_id,hotel_id,aspect,sentence_id,reason_text,citation_exists,in_current_evidence_pack,support_score,notes
q001,G3,bfb10d66f821,location_transport,68d99b391b76ab76_s000,交通位置极佳，靠近多个地标。,1,1,2,
q006,G3,72a9d2fbc96c,cleanliness,e22a5ff4dbceef13_s002,房间非常干净舒适。,1,1,2,
q006,G3,72a9d2fbc96c,cleanliness,4f7e030a6132d7b7_s000,整体卫生状况很好。,1,1,2,
q006,G3,bd1ba974bf11,cleanliness,540633ecaaddf7cb_s003,房间宽敞且干净。,1,1,1,
q006,G3,bd1ba974bf11,cleanliness,877849bcb709f0bd_s000,整体评价不错。,1,1,1,
q011,G3,79c2d98fa1cb,service,9506495343631d63_s008,客人评价酒店非常欢迎。,1,1,1,
q011,G3,79c2d98fa1cb,service,fe0de34f810dcc8e_s010,客人称其为芝加哥的宝石。,1,1,1,
q011,G3,7669c6fc99e7,service,26297e902507438d_s001,客房和早餐服务很棒。,1,1,2,
q011,G3,7669c6fc99e7,service,26297e902507438d_s002,员工非常乐于助人。,1,1,2,
q016,G3,85a18ed72b1c,room_facilities,359df474d75da2a1_s010,房间设施齐全，适合家庭入住。,1,1,2,
q016,G3,85a18ed72b1c,room_facilities,a3078932f59ed732_s003,房间空间充足，布局合理。,1,1,1,
q016,G3,d30be52b2a2a,room_facilities,e2c6fdca4d0b4650_s001,房间舒适干净，睡眠体验佳。,1,1,1,
q016,G3,d30be52b2a2a,room_facilities,e2c6fdca4d0b4650_s002,套房布局宽敞，设计贴心。,1,1,2,
q026,G3,75334fbbe64c,value,bfadf45508eb134c_s000,住客认为酒店价格非常合适。,1,1,2,
q026,G3,75334fbbe64c,value,fe40f20851ce5cdf_s000,在绝佳位置，物超所值。,1,1,1,
q026,G3,445d9279fa58,value,d58c047dc7d8f929_s000,位置良好，整体不错。,1,1,1,
q026,G3,445d9279fa58,value,a2b8214f471192b1_s009,是入住新奥尔良的不错选择。,1,1,1,
q031,G3,e0eeae8afde3,location_transport,260ed33340e4cf63_s005,位置极佳，公园交通方便。,1,1,2,
q031,G3,e0eeae8afde3,location_transport,260ed33340e4cf63_s007,景点交通非常便利。,1,1,2,
q031,G3,98bd44439ff5,location_transport,678cdefb30f1f0cc_s004,位置非常便利。,1,1,2,
q031,G3,98bd44439ff5,location_transport,53933b6bd4c89715_s000,适合度假或商务，位置良好。,1,1,2,
q036,G3,4ba7bdc9b246,cleanliness,be90326d3c9cf0f5_s004,房间干净舒适，设施更新。,1,1,2,
q036,G3,4ba7bdc9b246,cleanliness,89361c22dccb7e08_s001,房间宽敞整洁，酒店令人喜爱。,1,1,2,
q041,G3,f6c6d40a783b,service,3a43662a5a226428_s000,员工友好且乐于助人。,1,1,1,
q041,G3,f6c6d40a783b,service,6120714af161e9a5_s006,服务令人满意，值得再次入住。,1,1,1,
q041,G3,ad12fec3ad85,service,3abf841092d7fb3f_s002,员工超级随和且友好。,1,1,2,
q041,G3,ad12fec3ad85,service,ca2831c580de6451_s000,客户服务非常出色。,1,1,1,
q046,G3,75fef46b9663,room_facilities,70104a60ccc20263_s002,房间舒适，床铺也很舒服。,1,1,2,
q046,G3,75fef46b9663,room_facilities,2b6adb981b20c299_s000,整体住宿体验极佳。,1,1,1,
q046,G3,5ac72eb101c1,room_facilities,773410cb8381abf1_s029,房间宽敞舒适，床铺舒适。,1,1,2,
q046,G3,5ac72eb101c1,room_facilities,06e98a924068cb93_s003,房间干净且床铺舒适。,1,1,1,
q002,G3,bfb10d66f821,cleanliness,863cfddad0477974_s007,房间宽敞且干净舒适。,1,1,2,
q002,G3,bfb10d66f821,location_transport,68d99b391b76ab76_s000,位置便利，靠近体育场和餐厅。,1,1,2,
q007,G3,72a9d2fbc96c,cleanliness,e22a5ff4dbceef13_s002,房间非常干净舒适。,1,1,2,
q007,G3,72a9d2fbc96c,service,a41988dc4f9a96ef_s000,位置极佳，整体体验很好。,1,1,1,
q007,G3,bd1ba974bf11,cleanliness,588d98086599b735_s005,房间宽敞舒适。,1,1,1,
q007,G3,bd1ba974bf11,service,877849bcb709f0bd_s002,员工友好且乐于助人。,1,1,2,
q012,G3,79c2d98fa1cb,room_facilities,c406dcc729c5503f_s002,房间宽敞舒适。,1,1,2,
q012,G3,79c2d98fa1cb,service,57aabee8f813a19b_s000,员工友好热情。,1,1,1,
q012,G3,7669c6fc99e7,room_facilities,60c4e5df8c859e75_s001,房间整洁舒适。,1,1,2,
q012,G3,7669c6fc99e7,service,26297e902507438d_s002,员工乐于助人。,1,1,2,
q017,G3,85a18ed72b1c,quiet_sleep,39e05ab75911b052_s001,房间安静舒适，睡眠体验佳。,1,1,1,
q017,G3,85a18ed72b1c,room_facilities,359df474d75da2a1_s010,设施齐全，房间空间充足。,1,1,2,
q017,G3,d30be52b2a2a,quiet_sleep,e2c6fdca4d0b4650_s001,房间舒适安静，适合休息。,1,1,1,
q017,G3,d30be52b2a2a,room_facilities,e2c6fdca4d0b4650_s002,套房布局合理，设施完善。,1,1,2,
