query_id,group_id,hotel_id,sentence_id,reason_text,citation_exists,in_current_evidence_pack,support_score,notes
q001,A_free_generation,bfb10d66f821,68d99b391b76ab76_s000,位置极佳，靠近本田中心、安纳海姆体育场及餐饮店,1,1,2,
q002,A_free_generation,bfb10d66f821,748a79568a9e9fa0_s002,房间干净舒适，酒店整体卫生状况良好。,1,1,2,
q002,A_free_generation,bfb10d66f821,68d99b391b76ab76_s000,位置极佳，靠近本田中心、体育场及餐饮设施。,1,1,2,
q003,A_free_generation,bfb10d66f821,a50fcbdf6353e969_s007,住客建议携带便携风扇以阻挡噪音，确保睡眠安静。,1,1,2,
q003,A_free_generation,bfb10d66f821,58a03e970d581959_s012,服务与万豪其他物业一致，员工友好且乐于助人。,1,1,2,
q006,A_free_generation,72a9d2fbc96c,4f7e030a6132d7b7_s000,用户评价酒店非常干净，房间舒适卫生。,1,1,2,
q006,A_free_generation,72a9d2fbc96c,e22a5ff4dbceef13_s002,房间被描述为非常干净且舒适。,1,1,2,
q006,A_free_generation,bd1ba974bf11,76057ec5178623be_s003,酒店大堂干净，房间舒适卫生。,1,1,2,
q006,A_free_generation,bd1ba974bf11,a9b0347bca5861dc_s001,房间被描述为非常干净且舒适。,1,1,2,
q007,A_free_generation,72a9d2fbc96c,4f7e030a6132d7b7_s000,房间非常干净舒适，整体卫生状况良好。,1,1,2,
q007,A_free_generation,72a9d2fbc96c,35cf9447cc61d45e_s002,前台友好热情，服务人员乐于助人。,1,1,2,
q007,A_free_generation,bd1ba974bf11,a9b0347bca5861dc_s001,房间干净舒适，整体环境整洁。,1,1,2,
q007,A_free_generation,bd1ba974bf11,789e445a28355d5c_s009,员工友好且乐于助人，服务完美。,1,1,2,
q008,A_free_generation,e73773333429,9eb6d3fc17f2c35f_s004,环境非常安静舒适，适合良好睡眠。,1,1,2,
q008,A_free_generation,e73773333429,9eb6d3fc17f2c35f_s003,房间宽敞现代，配备齐全，床品舒适。,1,1,2,
q008,A_free_generation,72a9d2fbc96c,2452c71c77d57902_s000,背景有圣诞音乐，氛围宁静。,1,1,2,
q008,A_free_generation,72a9d2fbc96c,4f7e030a6132d7b7_s003,设施完善，床铺和家具舒适。,1,1,2,
q011,A_free_generation,79c2d98fa1cb,9bb9606134929856_s011,员工友好且服务出色，提供购物接驳车。,1,1,2,
q011,A_free_generation,79c2d98fa1cb,a9b31551cfbd228d_s000,入住时工作人员态度亲切。,1,1,2,
q011,A_free_generation,7669c6fc99e7,26297e902507438d_s001,客房和早餐服务很棒。,1,1,2,
q011,A_free_generation,7669c6fc99e7,26297e902507438d_s002,员工非常乐于助人，提供景点和美食推荐。,1,1,2,
q012,A_free_generation,79c2d98fa1cb,9bb9606134929856_s011,员工友好且服务周到，餐饮出色。,1,1,2,
q012,A_free_generation,79c2d98fa1cb,c406dcc729c5503f_s002,房间大小适中，浴室舒适。,1,1,2,
q012,A_free_generation,7669c6fc99e7,26297e902507438d_s002,员工非常乐于助人，提供旅游推荐。,1,1,2,
q012,A_free_generation,7669c6fc99e7,60c4e5df8c859e75_s000,房间舒适，拥有河景。,1,1,2,
q013,A_free_generation,79c2d98fa1cb,64a198c9f6ff9412_s029,强调良好睡眠是商务旅行的基本需求，暗示酒店注重睡眠质量。,1,1,2,
q016,A_free_generation,85a18ed72b1c,9a164e5741f44370_s000,房间装饰精美且清洁舒适，床铺非常舒适。,1,1,2,
q016,A_free_generation,85a18ed72b1c,75cd712953cb206b_s004,床铺体验极佳，整体住宿感受良好。,1,1,2,
q016,A_free_generation,d30be52b2a2a,e2c6fdca4d0b4650_s002,套房布局舒适，房间尺寸令人满意。,1,1,2,
q016,A_free_generation,d30be52b2a2a,923ad2587b7f310c_s000,房间空间宽敞，整体尺寸很棒。,1,1,2,
q017,A_free_generation,85a18ed72b1c,74253f6620c5c202_s005,房间安静，适合睡眠，尽管靠近高速公路。,1,1,2,
q017,A_free_generation,85a18ed72b1c,9a164e5741f44370_s000,房间装饰精美、清洁舒适，床铺非常舒适。,1,1,2,
q017,A_free_generation,d30be52b2a2a,e2c6fdca4d0b4650_s002,套房布局不错，房间尺寸很大。,1,1,2,
q017,A_free_generation,d30be52b2a2a,e2c6fdca4d0b4650_s003,街道虽有噪音，但整体住宿体验愉快。,1,1,2,
q018,A_free_generation,d30be52b2a2a,e2c6fdca4d0b4650_s003,街道虽有噪音但整体住宿体验愉快。,1,1,2,
q018,A_free_generation,d30be52b2a2a,f5b07d7fd5826db0_s007,价格合理，是不错的过夜选择。,1,1,2,
q018,A_free_generation,85a18ed72b1c,74253f6620c5c202_s005,即使紧邻高速公路，房间依然安静。,1,1,2,
q018,A_free_generation,85a18ed72b1c,c0ed54302d43d5a9_s002,曾匹配其他酒店价格，性价比尚可。,1,1,2,
q022,A_free_generation,9e8bc983cff4,fb2dd30b49aae0d0_s000,住宿性价比高，符合瓦伊基基标准的价格。,1,1,2,
q022,A_free_generation,9e8bc983cff4,63e33c9ade80d177_s000,价格合理，适合大多数目的。,1,1,2,
q026,A_free_generation,75334fbbe64c,bfadf45508eb134c_s000,价格非常合适，酒店价值极佳。,1,1,2,
q026,A_free_generation,75334fbbe64c,30d4c81010a302e8_s018,酒店价值方面表现卓越。,1,1,2,
q026,A_free_generation,445d9279fa58,71affa8502040f0d_s000,在昂贵的新奥尔良提供合理价格。,1,1,2,
q026,A_free_generation,445d9279fa58,74fb427c464da0e5_s005,是法国区最好的交易。,1,1,2,
q027,A_free_generation,75334fbbe64c,e0eb47498dba499b_s006,酒店位于新奥尔良景点附近，步行距离适中，位置极佳。,1,1,2,
q027,A_free_generation,75334fbbe64c,bfadf45508eb134c_s000,价格非常合理，性价比很高。,1,1,2,
q027,A_free_generation,445d9279fa58,667beb34e7d7221a_s000,位于法国区边缘，步行即可到达市中心主要景点。,1,1,2,
q027,A_free_generation,445d9279fa58,74fb427c464da0e5_s005,在新奥尔良住宿较贵，但该酒店价格合理，是法国区最佳选择。,1,1,2,
q028,A_free_generation,445d9279fa58,32028f96838e6cc4_s013,酒店位置适中，睡觉时不受噪音干扰，能享受优质睡眠。,1,1,2,
q028,A_free_generation,445d9279fa58,4acc930bd656557d_s002,酒店环境非常干净，设施舒适。,1,1,2,
q028,A_free_generation,75334fbbe64c,37724c3ad7c6137e_s004,房间安静舒适，床垫枕头让人睡得安稳。,1,1,2,
q028,A_free_generation,75334fbbe64c,40aafea769bc74aa_s001,客房保持清洁，氛围温馨。,1,1,2,
q031,A_free_generation,e0eeae8afde3,260ed33340e4cf63_s005,位置极佳，步行可达多家餐厅，可乘公交前往奥兰多各地。,1,1,2,
q031,A_free_generation,e0eeae8afde3,c853e1650f949d22_s029,从该位置可步行至众多餐厅，并乘坐公交前往奥兰多任何地方。,1,1,2,
q031,A_free_generation,98bd44439ff5,d84997daa278ff03_s000,位于繁忙街道，交通便利，方便前往奥兰多各处。,1,1,2,
q031,A_free_generation,98bd44439ff5,53933b6bd4c89715_s000,拥有良好的位置，适合度假或商务出行。,1,1,2,
q032,A_free_generation,98bd44439ff5,46202b133789e043_s000,酒店非常干净，房间整洁。,1,1,2,
q032,A_free_generation,98bd44439ff5,d84997daa278ff03_s000,位置便利，靠近奥兰多各处区域。,1,1,2,
q032,A_free_generation,e0eeae8afde3,4518e9b0cfe37353_s001,房间宽敞且干净。,1,1,2,
q032,A_free_generation,e0eeae8afde3,260ed33340e4cf63_s005,位置极佳，可步行至餐厅并乘公交前往各处。,1,1,2,
q033,A_free_generation,cabad4abd2ba,76a8765f4e44d95a_s001,前台人员友好，主动帮忙提行李，服务表现不错。,1,1,2,
q033,A_free_generation,e0eeae8afde3,15d7d933dfb39322_s004,虽位于主干道旁，但用户反馈休息质量很高。,1,1,2,
q033,A_free_generation,e0eeae8afde3,6d6f23f0f75a0bdd_s003,工作人员友好，适合公园游玩后休息。,1,1,2,
q036,A_free_generation,4ba7bdc9b246,be90326d3c9cf0f5_s004,房间干净舒适，设施更新。,1,1,2,
q036,A_free_generation,4ba7bdc9b246,daff2592f3c3b6f3_s003,酒店和房间整洁且现代化。,1,1,2,
q036,A_free_generation,b115571efdc5,84c91d5b7c0b5139_s014,提供干净舒适的住宿。,1,1,2,
q036,A_free_generation,b115571efdc5,590b538e701e0032_s003,房间非常干净。,1,1,2,
q037,A_free_generation,4ba7bdc9b246,be90326d3c9cf0f5_s004,房间干净舒适，设施更新。,1,1,2,
