query_id,group_id,hotel_id,aspect,sentence_id,reason_text,citation_exists,in_current_evidence_pack,support_score,notes
q001,G2,bfb10d66f821,location_transport,68d99b391b76ab76_s000,位置非常便利，靠近Honda Center和Anaheim体育场。,1,1,2,
q006,G2,72a9d2fbc96c,cleanliness,4f7e030a6132d7b7_s000,用户多次评价房间非常干净且舒适。,1,1,2,
q006,G2,72a9d2fbc96c,cleanliness,e22a5ff4dbceef13_s002,住客反馈房间整洁舒适，整体卫生状况良好。,1,1,2,
q006,G2,bd1ba974bf11,cleanliness,a9b0347bca5861dc_s001,房间非常干净舒适，服务周到。,1,1,2,
q006,G2,bd1ba974bf11,cleanliness,789e445a28355d5c_s004,酒店始终保持清洁，设施齐全。,1,1,2,
q011,G2,79c2d98fa1cb,service,a9b31551cfbd228d_s000,员工友好且入住体验良好。,1,1,2,
q011,G2,79c2d98fa1cb,service,9bb9606134929856_s011,服务与食物均获好评。,1,1,2,
q011,G2,7669c6fc99e7,service,70f5d5d92e74cd50_s002,员工非常友好且乐于助人。,1,1,2,
q011,G2,7669c6fc99e7,service,26297e902507438d_s001,客房与早餐服务出色。,1,1,2,
q016,G2,85a18ed72b1c,room_facilities,9a164e5741f44370_s000,房间装饰精美且清洁舒适，床铺非常舒服。,1,1,2,
q016,G2,85a18ed72b1c,room_facilities,359df474d75da2a1_s010,提供丰富的设施。,1,1,2,
q016,G2,d30be52b2a2a,room_facilities,e2c6fdca4d0b4650_s002,套房布局不错，房间尺寸很大。,1,1,2,
q016,G2,d30be52b2a2a,room_facilities,240066085a3d19d6_s005,房间状况良好，无污渍异味。,1,1,2,
q026,G2,75334fbbe64c,value,bfadf45508eb134c_s000,价格非常合理，性价比极高,1,1,2,
q026,G2,75334fbbe64c,value,502c1425410f8f64_s001,超值体验，超出价格预期,1,1,2,
q026,G2,445d9279fa58,value,71affa8502040f0d_s000,在法国区提供合理价格的所有设施,1,1,2,
q026,G2,445d9279fa58,value,74fb427c464da0e5_s005,法国区最佳交易选择,1,1,2,
q031,G2,e0eeae8afde3,location_transport,260ed33340e4cf63_s005,位置极佳，步行可达多家餐厅并方便乘坐公交。,1,1,2,
q031,G2,e0eeae8afde3,location_transport,c853e1650f949d22_s029,可步行至众多餐厅，且能乘坐公交前往奥兰多各地。,1,1,2,
q031,G2,98bd44439ff5,location_transport,d84997daa278ff03_s000,位于繁忙街道，方便前往奥兰多所有区域。,1,1,2,
q031,G2,98bd44439ff5,location_transport,0389b211be86be67_s000,靠近奥兰多桑福德国际机场，交通十分便捷。,1,1,2,
q036,G2,4ba7bdc9b246,cleanliness,be90326d3c9cf0f5_s004,房间干净舒适，酒店设施更新。,1,1,2,
q036,G2,4ba7bdc9b246,cleanliness,daff2592f3c3b6f3_s003,房间和酒店都非常整洁。,1,1,2,
q036,G2,b115571efdc5,cleanliness,84c91d5b7c0b5139_s014,提供干净舒适的住宿。,1,1,2,
q036,G2,b115571efdc5,cleanliness,590b538e701e0032_s003,房间非常干净。,1,1,2,
q041,G2,f6c6d40a783b,service,c1f6b51094ab59be_s001,员工非常友好且乐于助人。,1,1,2,
q041,G2,f6c6d40a783b,service,70ada2e11e49e689_s003,礼宾部服务周到。,1,1,2,
q041,G2,84953c35a9d0,service,bad29eb8b187257d_s002,员工友好且乐于助人。,1,1,2,
q041,G2,84953c35a9d0,service,5ff0bbaaea322822_s002,入住退房流程顺畅。,1,1,2,
q046,G2,75fef46b9663,room_facilities,70104a60ccc20263_s002,房间舒适且宽敞,1,1,2,
q046,G2,75fef46b9663,room_facilities,c9e7e8769ff06792_s002,配备舒适的皇后床,1,1,2,
q046,G2,5ac72eb101c1,room_facilities,773410cb8381abf1_s029,房间宽敞舒适,1,1,2,
q046,G2,5ac72eb101c1,room_facilities,c1fc69092404fcd5_s004,床铺舒适包括沙发床,1,1,2,
q002,G2,bfb10d66f821,cleanliness,748a79568a9e9fa0_s002,房间干净舒适，酒店环境整洁。,1,1,2,
q002,G2,bfb10d66f821,location_transport,68d99b391b76ab76_s000,位置便利，靠近本田中心及天使体育场。,1,1,2,
q007,G2,72a9d2fbc96c,cleanliness,e22a5ff4dbceef13_s002,房间非常干净舒适。,1,1,2,
