query_id,group_id,hotel_id,aspect,sentence_id,reason_text,citation_exists,in_current_evidence_pack,support_score,notes
q001,G4,bfb10d66f821,location_transport,68d99b391b76ab76_s000,位置极佳，靠近Honda Center和Anaheim Stadium。,1,1,2,
q001,G4,bfb10d66f821,location_transport,58a03e970d581959_s000,步行即可到达Angel Stadium和Honda Center。,1,1,2,
q006,G4,72a9d2fbc96c,cleanliness,e22a5ff4dbceef13_s002,房间非常干净舒适。,1,1,2,
q006,G4,72a9d2fbc96c,cleanliness,4f7e030a6132d7b7_s000,整体卫生状况极佳。,1,1,2,
q006,G4,bd1ba974bf11,cleanliness,a9b0347bca5861dc_s001,房间干净舒适。,1,1,2,
q006,G4,bd1ba974bf11,cleanliness,789e445a28355d5c_s004,设施齐全且保持清洁。,1,1,2,
q011,G4,79c2d98fa1cb,service,a9b31551cfbd228d_s000,员工友好且入住流程顺畅。,1,1,2,
q011,G4,79c2d98fa1cb,service,9bb9606134929856_s011,服务与设施均获好评。,1,1,2,
q011,G4,7669c6fc99e7,service,26297e902507438d_s002,员工乐于助人并提供推荐。,1,1,2,
q011,G4,7669c6fc99e7,service,70f5d5d92e74cd50_s002,前台员工非常友好且有帮助。,1,1,2,
q016,G4,85a18ed72b1c,room_facilities,9a164e5741f44370_s000,房间装饰精美且舒适。,1,1,2,
q016,G4,85a18ed72b1c,room_facilities,75cd712953cb206b_s004,床铺非常舒适。,1,1,2,
q016,G4,d30be52b2a2a,room_facilities,e2c6fdca4d0b4650_s002,房间布局舒适且宽敞。,1,1,2,
q016,G4,d30be52b2a2a,room_facilities,923ad2587b7f310c_s000,房间尺寸很棒。,1,1,2,
q026,G4,75334fbbe64c,value,bfadf45508eb134c_s000,住客认为酒店价格非常合适，超出预期。,1,1,2,
q026,G4,75334fbbe64c,value,30d4c81010a302e8_s018,酒店价值被评价为极佳。,1,1,2,
q026,G4,445d9279fa58,value,71affa8502040f0d_s000,在价格昂贵的新奥尔良，此处提供合理价格。,1,1,2,
q026,G4,445d9279fa58,value,74fb427c464da0e5_s005,被认为是法国区最好的交易。,1,1,2,
q031,G4,e0eeae8afde3,location_transport,260ed33340e4cf63_s005,步行可达多家餐厅且可乘公交前往 Orlando 各地。,1,1,2,
q031,G4,e0eeae8afde3,location_transport,c853e1650f949d22_s029,位置极佳，步行至餐厅并搭乘公交十分方便。,1,1,2,
q031,G4,98bd44439ff5,location_transport,d84997daa278ff03_s000,位置优越，步行即可到达 Orlando 各区。,1,1,2,
q031,G4,98bd44439ff5,location_transport,0389b211be86be67_s000,距离 Orlando Sanford 国际机场仅几步之遥。,1,1,2,
q036,G4,4ba7bdc9b246,cleanliness,be90326d3c9cf0f5_s004,房间干净舒适，设施更新。,1,1,2,
q036,G4,4ba7bdc9b246,cleanliness,4a1973331fd80181_s008,整体酒店与房间都非常整洁。,1,1,2,
q036,G4,7213d9173df3,cleanliness,e8ac16238c6cb44a_s000,入住方便，房间干净。,1,1,2,
q036,G4,7213d9173df3,cleanliness,627cc84e2e9930bd_s010,酒店与房间都非常干净。,1,1,2,
q041,G4,f6c6d40a783b,service,c1f6b51094ab59be_s001,员工非常友好且乐于助人。,1,1,2,
q041,G4,f6c6d40a783b,service,70ada2e11e49e689_s003,礼宾部服务十分 helpful。,1,1,2,
q041,G4,ad12fec3ad85,service,a3510910ff868c47_s002,员工态度极好，像住朋友家一样。,1,1,2,
q041,G4,ad12fec3ad85,service,c2b24847a1c26ecb_s005,服务非常棒。,1,1,2,
q046,G4,75fef46b9663,room_facilities,c9e7e8769ff06792_s002,房间宽敞舒适，适合多人入住。,1,1,2,
q046,G4,75fef46b9663,room_facilities,70104a60ccc20263_s002,床铺舒适，睡眠体验良好。,1,1,2,
q046,G4,5ac72eb101c1,room_facilities,773410cb8381abf1_s029,房间空间大且舒适。,1,1,2,
q046,G4,5ac72eb101c1,room_facilities,c1fc69092404fcd5_s004,床铺舒适，包括可转换沙发床。,1,1,2,
q002,G4,bfb10d66f821,cleanliness,748a79568a9e9fa0_s002,房间干净舒适，环境安静。,1,1,2,
q002,G4,bfb10d66f821,location_transport,68d99b391b76ab76_s000,位置便利，靠近体育场和餐厅。,1,1,2,
q007,G4,72a9d2fbc96c,cleanliness,e22a5ff4dbceef13_s002,房间非常干净舒适。,1,1,2,
q007,G4,72a9d2fbc96c,service,4f7e030a6132d7b7_s005,前台员工友好且乐于助人。,1,1,2,
q007,G4,bd1ba974bf11,cleanliness,a9b0347bca5861dc_s001,房间干净舒适。,1,1,2,
q007,G4,bd1ba974bf11,service,877849bcb709f0bd_s002,员工友好且乐于助人。,1,1,2,
q012,G4,79c2d98fa1cb,room_facilities,c406dcc729c5503f_s002,房间宽敞舒适。,1,1,2,
