sentence_id,hotel_id,city,sentence_text,aspect_gold,sentiment_gold,is_multi_aspect,notes
0dd1db6f8e5e26ee_s004,bfb10d66f821,Anaheim,Staff was great and accommodations were excellent!!,service;room_facilities,positive,1,
100c12d8780361ba_s005,4ba7bdc9b246,San Diego,The room was clean and comfortable.,cleanliness;room_facilities,positive,1,
118e4ecd9e753fb9_s004,445d9279fa58,New Orleans,"Again, very personable helpful assistance at the desk, full breakfast excellent, elevator musty, room not so clean, internet not working, one phone not working.",cleanliness;service;room_facilities,negative,1,"Service is positive, but cleanliness and facilities complaints dominate."
1475121e84cd022b_s025,75334fbbe64c,New Orleans,"It's old and smells a bit musty, but I don't mind that.",cleanliness;room_facilities,neutral,1,Negative room age and smell are softened by explicit acceptance.
1b1fece8ca00ba29_s005,4ba7bdc9b246,San Diego,The beach access is perfect and the beach was clean.,location_transport,positive,0,
295d3fa4712e5fbe_s003,9e8bc983cff4,Honolulu,but it was definitely clean (might be time...,cleanliness,positive,0,
2f9ba7de916cc18c_s005,4ba7bdc9b246,San Diego,"While the decor wasn't fancy, the hotel was always clean.",cleanliness;room_facilities,positive,1,Cleanliness is the main point; decor is a minor facilities negative.
30d4c81010a302e8_s031,75334fbbe64c,New Orleans,"The room was very spacious, for the price and very clean.",cleanliness;room_facilities;value,positive,1,
325b056dca9a59ff_s004,75334fbbe64c,New Orleans,The fresh baked croissants were an excellent way to start the day.,general,positive,0,
4031a7045124ec2b_s000,75334fbbe64c,New Orleans,"Very well appointed room with floor to ceiling drapes, very comfortable king bed, very clean bathroom.",cleanliness;room_facilities,positive,1,
41c43b6ed15fc350_s001,b115571efdc5,San Diego,Clean enough for most folks. Free parking.,location_transport;cleanliness,positive,1,
446fe4eb31b44e7a_s004,98bd44439ff5,Orlando,do a great job with breakfast. Always clean.,cleanliness,positive,0,
4b08c4d5664e4f9f_s005,4ba7bdc9b246,San Diego,"The continental breakfast was more than I expected with waffles, pastries and a fresh assortment of fruit and cereal.",general,positive,0,
4dce240713906fb2_s001,b115571efdc5,San Diego,Room was larger and nicer than it looks in pics and was clean.,cleanliness;room_facilities,positive,1,
57aabee8f813a19b_s000,79c2d98fa1cb,Chicago,"Nice hotel, clean, great staff.",cleanliness;service,positive,1,
57f04df19b0a6ec5_s023,4ba7bdc9b246,San Diego,"Plenty of bath towels in a basket, as well as 2 blue beach towels which remained unused during this December visit.",room_facilities,neutral,0,
6043615dd8b7e2ae_s010,4ba7bdc9b246,San Diego,"Four Stars were given because the room was clean, the location was the best to the beach, parking was free, and the free breakfast was just perfect.",location_transport;cleanliness;value,positive,1,
6b820d4aaca4fba4_s000,7213d9173df3,San Diego,The hotel is clean and the staff was excellent.,cleanliness;service,positive,1,
