query_id,group_id,hotel_id,sentence_id,reason_text,citation_exists,in_current_evidence_pack,support_score,notes
q001,B_peft_4b_grounded,bfb10d66f821,68d99b391b76ab76_s000,酒店位置非常便利，靠近 Honda Center 和 Anaheim 体育场。,1,1,2,
q002,B_peft_4b_grounded,bfb10d66f821,748a79568a9e9fa0_s002,房间干净舒适，酒店整体卫生状况良好。,1,1,2,
q002,B_peft_4b_grounded,bfb10d66f821,68d99b391b76ab76_s000,位置极佳，靠近Honda Center及Angel Stadium。,1,1,2,
q003,B_peft_4b_grounded,bfb10d66f821,a50fcbdf6353e969_s010,住客主动要求移至庭院侧后，后续住宿非常安静。,1,1,2,
q006,B_peft_4b_grounded,72a9d2fbc96c,e22a5ff4dbceef13_s002,房间非常干净舒适。,1,1,2,
q006,B_peft_4b_grounded,72a9d2fbc96c,4f7e030a6132d7b7_s000,整体卫生状况很好。,1,1,2,
q006,B_peft_4b_grounded,bd1ba974bf11,a9b0347bca5861dc_s001,房间非常干净舒适。,1,1,2,
q006,B_peft_4b_grounded,bd1ba974bf11,789e445a28355d5c_s004,始终保持干净。,1,1,2,
q007,B_peft_4b_grounded,72a9d2fbc96c,e22a5ff4dbceef13_s002,房间非常干净舒适。,1,1,2,
q007,B_peft_4b_grounded,72a9d2fbc96c,4f7e030a6132d7b7_s005,前台总是友好欢迎。,1,1,2,
q007,B_peft_4b_grounded,bd1ba974bf11,a9b0347bca5861dc_s001,房间干净舒适。,1,1,2,
q007,B_peft_4b_grounded,bd1ba974bf11,877849bcb709f0bd_s002,员工友好且乐于助人。,1,1,2,
q008,B_peft_4b_grounded,e73773333429,9eb6d3fc17f2c35f_s004,房间非常安静舒适，适合好睡眠。,1,1,2,
q008,B_peft_4b_grounded,e73773333429,9eb6d3fc17f2c35f_s003,房间宽敞现代，配备齐全。,1,1,2,
q011,B_peft_4b_grounded,79c2d98fa1cb,a9b31551cfbd228d_s000,员工友好且入住流程顺畅。,1,1,2,
q011,B_peft_4b_grounded,79c2d98fa1cb,9bb9606134929856_s011,服务与餐饮均获好评。,1,1,2,
q011,B_peft_4b_grounded,7669c6fc99e7,70f5d5d92e74cd50_s002,前台员工非常友好且乐于助人。,1,1,2,
q011,B_peft_4b_grounded,7669c6fc99e7,26297e902507438d_s001,客房与早餐服务出色。,1,1,2,
q012,B_peft_4b_grounded,79c2d98fa1cb,a9b31551cfbd228d_s000,入住流程顺畅，员工友好。,1,1,2,
q012,B_peft_4b_grounded,79c2d98fa1cb,c406dcc729c5503f_s002,房间空间适中，设施良好。,1,1,2,
q012,B_peft_4b_grounded,7669c6fc99e7,70f5d5d92e74cd50_s002,前台员工热情且乐于助人。,1,1,2,
q012,B_peft_4b_grounded,7669c6fc99e7,60c4e5df8c859e75_s000,房间舒适，视野极佳。,1,1,2,
q016,B_peft_4b_grounded,85a18ed72b1c,9a164e5741f44370_s000,房间装饰整洁且床铺舒适。,1,1,2,
q016,B_peft_4b_grounded,85a18ed72b1c,359df474d75da2a1_s010,设施丰富。,1,1,2,
q016,B_peft_4b_grounded,d30be52b2a2a,923ad2587b7f310c_s000,房间空间大且布局不错。,1,1,2,
q017,B_peft_4b_grounded,85a18ed72b1c,74253f6620c5c202_s005,房间安静，适合睡眠。,1,1,2,
q017,B_peft_4b_grounded,85a18ed72b1c,75cd712953cb206b_s004,房间设施舒适整洁。,1,1,2,
q017,B_peft_4b_grounded,d30be52b2a2a,923ad2587b7f310c_s000,房间空间大且设施良好。,1,1,2,
q018,B_peft_4b_grounded,d30be52b2a2a,e2c6fdca4d0b4650_s003,Street noise was minimal for a pleasant stay.,1,1,2,
q018,B_peft_4b_grounded,d30be52b2a2a,f5b07d7fd5826db0_s007,Reasonable price and good overall choice.,1,1,2,
q018,B_peft_4b_grounded,85a18ed72b1c,74253f6620c5c202_s005,Rooms remained quiet despite expressway proximity.,1,1,2,
q022,B_peft_4b_grounded,9e8bc983cff4,63e33c9ade80d177_s000,价格合理，符合威基基标准。,1,1,2,
q026,B_peft_4b_grounded,75334fbbe64c,bfadf45508eb134c_s000,客人认为酒店价格合适且超出预期。,1,1,2,
q026,B_peft_4b_grounded,75334fbbe64c,30d4c81010a302e8_s018,酒店价值方面被评为非常棒。,1,1,2,
q026,B_peft_4b_grounded,445d9279fa58,71affa8502040f0d_s000,在价格昂贵的纽奥尔良，这里提供合理的价格。,1,1,2,
q026,B_peft_4b_grounded,445d9279fa58,74fb427c464da0e5_s005,被认为是法国区最好的交易。,1,1,2,
q027,B_peft_4b_grounded,75334fbbe64c,e0eb47498dba499b_s006,酒店位于市中心，步行即可到达新奥尔良主要景点。,1,1,2,
q027,B_peft_4b_grounded,75334fbbe64c,bfadf45508eb134c_s000,住客反馈该酒店价格非常划算，性价比很高。,1,1,2,
q027,B_peft_4b_grounded,445d9279fa58,667beb34e7d7221a_s000,酒店位于法国区边缘，步行即可到达市中心核心区域。,1,1,2,
q027,B_peft_4b_grounded,445d9279fa58,74fb427c464da0e5_s005,在法国区提供合理价格，被认为是最好的交易之一。,1,1,2,
q028,B_peft_4b_grounded,445d9279fa58,32028f96838e6cc4_s013,房间安静，睡眠不受干扰。,1,1,2,
q028,B_peft_4b_grounded,445d9279fa58,4acc930bd656557d_s002,卫生状况良好。,1,1,2,
q028,B_peft_4b_grounded,75334fbbe64c,f398f50221cad6cd_s000,环境安静舒适。,1,1,2,
q028,B_peft_4b_grounded,75334fbbe64c,40aafea769bc74aa_s001,房间干净整洁。,1,1,2,
q031,B_peft_4b_grounded,e0eeae8afde3,260ed33340e4cf63_s005,位置极佳，步行可达多家餐厅且可乘公交前往 Orlando 各地。,1,1,2,
q031,B_peft_4b_grounded,e0eeae8afde3,c853e1650f949d22_s029,从酒店出发步行可达众多餐厅，并能乘坐公交前往 Orlando 任何地方。,1,1,2,
q031,B_peft_4b_grounded,98bd44439ff5,d84997daa278ff03_s000,位于繁忙街道，交通便利，可轻松到达 Orlando 各个区域。,1,1,2,
q031,B_peft_4b_grounded,98bd44439ff5,0389b211be86be67_s000,酒店位置靠近 Orlando Sanford 国际机场，出行十分便捷。,1,1,2,
q032,B_peft_4b_grounded,98bd44439ff5,46202b133789e043_s000,酒店非常干净。,1,1,2,
q032,B_peft_4b_grounded,98bd44439ff5,0389b211be86be67_s000,位置便利，靠近机场。,1,1,2,
