query_id,group_id,question,answerable_score,targeted_score,notes
q051,A_rule_clarify,请先告诉我你想入住哪个城市？,,,
q052,A_rule_clarify,请先告诉我你想入住哪个城市？,,,
q053,A_rule_clarify,请先告诉我你想入住哪个城市？,,,
q054,A_rule_clarify,请先告诉我你想入住哪个城市？,,,
q055,A_rule_clarify,请先告诉我你想入住哪个城市？,,,
q056,A_rule_clarify,请先告诉我你想入住哪个城市？,,,
q057,A_rule_clarify,你同时把 location_transport 设为重点和避免项，能再明确你真正更在意哪一边吗？,,,
q058,A_rule_clarify,你同时把 cleanliness 设为重点和避免项，能再明确你真正更在意哪一边吗？,,,
q059,A_rule_clarify,你同时把 service 设为重点和避免项，能再明确你真正更在意哪一边吗？,,,
q060,A_rule_clarify,你同时把 room_facilities 设为重点和避免项，能再明确你真正更在意哪一边吗？,,,
q061,A_rule_clarify,你同时把 quiet_sleep 设为重点和避免项，能再明确你真正更在意哪一边吗？,,,
q062,A_rule_clarify,你同时把 value 设为重点和避免项，能再明确你真正更在意哪一边吗？,,,
q063,A_rule_clarify,你同时把 location_transport 设为重点和避免项，能再明确你真正更在意哪一边吗？,,,
q064,A_rule_clarify,你同时把 cleanliness 设为重点和避免项，能再明确你真正更在意哪一边吗？,,,
q065,A_rule_clarify,你同时把 service 设为重点和避免项，能再明确你真正更在意哪一边吗？,,,
q066,A_rule_clarify,你同时把 room_facilities 设为重点和避免项，能再明确你真正更在意哪一边吗？,,,
q051,B_base_llm_clarify,,,,
q052,B_base_llm_clarify,,,,
q053,B_base_llm_clarify,,,,
q054,B_base_llm_clarify,,,,
q055,B_base_llm_clarify,,,,
q056,B_base_llm_clarify,,,,
q057,B_base_llm_clarify,,,,
q058,B_base_llm_clarify,,,,
q059,B_base_llm_clarify,,,,
q060,B_base_llm_clarify,,,,
q061,B_base_llm_clarify,,,,
q062,B_base_llm_clarify,,,,
q063,B_base_llm_clarify,,,,
q064,B_base_llm_clarify,,,,
q065,B_base_llm_clarify,,,,
q066,B_base_llm_clarify,,,,
