query_id,group_id,hotel_id,sentence_id,reason_text,citation_exists,in_current_evidence_pack,support_score,notes
q001,A_base_4b_grounded,bfb10d66f821,68d99b391b76ab76_s000,位置非常便利，靠近Honda Center和Anaheim体育场。,1,1,2,
q002,A_base_4b_grounded,bfb10d66f821,748a79568a9e9fa0_s002,房间干净舒适，酒店环境整洁。,1,1,2,
q002,A_base_4b_grounded,bfb10d66f821,68d99b391b76ab76_s000,位置便利，靠近本田中心及天使球场。,1,1,2,
q003,A_base_4b_grounded,bfb10d66f821,a50fcbdf6353e969_s010,用户主动要求移至庭院侧后，其余住宿期间非常安静。,1,1,2,
q003,A_base_4b_grounded,bfb10d66f821,58a03e970d581959_s012,服务与其他万豪品牌一致，员工友好且乐于助人。,1,1,2,
q006,A_base_4b_grounded,72a9d2fbc96c,4f7e030a6132d7b7_s000,用户多次评价房间非常干净。,1,1,2,
q006,A_base_4b_grounded,72a9d2fbc96c,e22a5ff4dbceef13_s002,住客反馈房间舒适且卫生状况良好。,1,1,2,
q006,A_base_4b_grounded,bd1ba974bf11,a9b0347bca5861dc_s001,酒店整体干净，房间舒适。,1,1,2,
q006,A_base_4b_grounded,bd1ba974bf11,789e445a28355d5c_s004,设施齐全，环境始终保持清洁。,1,1,2,
q007,A_base_4b_grounded,72a9d2fbc96c,e22a5ff4dbceef13_s002,房间非常干净舒适。,1,1,2,
q007,A_base_4b_grounded,72a9d2fbc96c,4f7e030a6132d7b7_s005,前台友好欢迎，礼宾员乐于助人。,1,1,2,
q007,A_base_4b_grounded,bd1ba974bf11,a9b0347bca5861dc_s001,房间干净舒适，设施齐全。,1,1,2,
q007,A_base_4b_grounded,bd1ba974bf11,877849bcb709f0bd_s002,员工友好且乐于助人。,1,1,2,
q008,A_base_4b_grounded,e73773333429,9eb6d3fc17f2c35f_s004,环境非常安静舒适，适合良好睡眠。,1,1,2,
q008,A_base_4b_grounded,e73773333429,9eb6d3fc17f2c35f_s003,房间宽敞现代，配备齐全且舒适。,1,1,2,
q008,A_base_4b_grounded,72a9d2fbc96c,4f7e030a6132d7b7_s003,房间舒适，家具设施良好。,1,1,2,
q008,A_base_4b_grounded,72a9d2fbc96c,2452c71c77d57902_s000,背景有圣诞音乐，氛围宁静。,1,1,2,
q011,A_base_4b_grounded,79c2d98fa1cb,a9b31551cfbd228d_s000,员工友好且入住体验良好。,1,1,2,
q011,A_base_4b_grounded,79c2d98fa1cb,9bb9606134929856_s011,服务与食物均获好评。,1,1,2,
q011,A_base_4b_grounded,7669c6fc99e7,26297e902507438d_s002,员工非常乐于助人并提供推荐。,1,1,2,
q011,A_base_4b_grounded,7669c6fc99e7,70f5d5d92e74cd50_s002,前台员工友好且有帮助。,1,1,2,
q012,A_base_4b_grounded,79c2d98fa1cb,a9b31551cfbd228d_s000,服务友好且价格合理，入住体验良好。,1,1,2,
q012,A_base_4b_grounded,79c2d98fa1cb,c406dcc729c5503f_s002,房间大小适中，浴室舒适。,1,1,2,
q012,A_base_4b_grounded,7669c6fc99e7,26297e902507438d_s002,员工非常乐于助人，提供旅游推荐。,1,1,2,
q012,A_base_4b_grounded,7669c6fc99e7,4d41af7e95defdf8_s001,房间舒适，拥有绝佳的河景。,1,1,2,
q013,A_base_4b_grounded,79c2d98fa1cb,64a198c9f6ff9412_s029,用户提及睡眠是基本需求，该酒店强调良好睡眠的重要性。,1,1,2,
q016,A_base_4b_grounded,85a18ed72b1c,9a164e5741f44370_s000,房间装饰精美且清洁舒适，床铺非常舒服。,1,1,2,
q016,A_base_4b_grounded,85a18ed72b1c,359df474d75da2a1_s010,提供丰富的设施。,1,1,2,
q016,A_base_4b_grounded,d30be52b2a2a,e2c6fdca4d0b4650_s002,套房布局不错，房间尺寸很大。,1,1,2,
q016,A_base_4b_grounded,d30be52b2a2a,240066085a3d19d6_s005,房间状况良好，无污渍异味，设施完好。,1,1,2,
q017,A_base_4b_grounded,85a18ed72b1c,9a164e5741f44370_s000,房间装饰精美、床铺舒适且设施齐全。,1,1,2,
q017,A_base_4b_grounded,85a18ed72b1c,74253f6620c5c202_s005,尽管靠近高速公路，但房间依然很安静。,1,1,2,
q017,A_base_4b_grounded,d30be52b2a2a,e2c6fdca4d0b4650_s002,套房布局舒适，房间空间大。,1,1,2,
q017,A_base_4b_grounded,d30be52b2a2a,e2c6fdca4d0b4650_s003,整体住宿体验愉快，外部噪音可控。,1,1,2,
q018,A_base_4b_grounded,d30be52b2a2a,e2c6fdca4d0b4650_s003,街道虽有噪音但整体住宿愉快。,1,1,2,
q018,A_base_4b_grounded,d30be52b2a2a,f5b07d7fd5826db0_s008,价格合理，是不错的过夜选择。,1,1,2,
q018,A_base_4b_grounded,85a18ed72b1c,74253f6620c5c202_s005,房间安静，尽管靠近高速公路。,1,1,2,
q022,A_base_4b_grounded,9e8bc983cff4,63e33c9ade80d177_s000,价格合理，符合威基基标准。,1,1,2,
q023,A_base_4b_grounded,9e8bc983cff4,06ebb7d7792a3c37_s000,靠近Waikiki及购物区，交通便利。,1,1,2,
q023,A_base_4b_grounded,9e8bc983cff4,51715f1f263e4378_s000,远离中央Waikiki的喧嚣，环境安静。,1,1,1,
q026,A_base_4b_grounded,75334fbbe64c,bfadf45508eb134c_s000,价格非常合理，性价比极高。,1,1,2,
q026,A_base_4b_grounded,75334fbbe64c,502c1425410f8f64_s001,酒店价值极佳，超出预期。,1,1,2,
q026,A_base_4b_grounded,445d9279fa58,74fb427c464da0e5_s005,在法国区提供合理价格，性价比最高。,1,1,2,
q026,A_base_4b_grounded,445d9279fa58,8e502fab33b4b04f_s001,当时是当地唯一且最好的选择。,1,1,2,
q027,A_base_4b_grounded,75334fbbe64c,fe40f20851ce5cdf_s000,酒店位于新奥尔良景点附近，位置极佳。,1,1,2,
q027,A_base_4b_grounded,75334fbbe64c,bfadf45508eb134c_s000,价格非常合理，性价比很高。,1,1,2,
q027,A_base_4b_grounded,445d9279fa58,667beb34e7d7221a_s000,位于法国区边缘，步行即可到达市中心。,1,1,2,
q027,A_base_4b_grounded,445d9279fa58,74fb427c464da0e5_s005,提供合理价格，是法国区最好的交易。,1,1,2,
q028,A_base_4b_grounded,445d9279fa58,32028f96838e6cc4_s013,酒店位置适中，睡觉时不受噪音干扰。,1,1,2,
q028,A_base_4b_grounded,445d9279fa58,4acc930bd656557d_s002,酒店非常干净舒适。,1,1,2,
q028,A_base_4b_grounded,75334fbbe64c,37724c3ad7c6137e_s004,房间安静舒适，床垫枕头很舒服。,1,1,2,
q028,A_base_4b_grounded,75334fbbe64c,40aafea769bc74aa_s001,房间干净且温馨。,1,1,2,
q031,A_base_4b_grounded,e0eeae8afde3,260ed33340e4cf63_s005,位置极佳，步行可达多家餐厅并方便乘坐公交。,1,1,2,
q031,A_base_4b_grounded,e0eeae8afde3,c853e1650f949d22_s029,可步行至众多餐厅，且能乘坐公交前往奥兰多各地。,1,1,2,
q031,A_base_4b_grounded,98bd44439ff5,d84997daa278ff03_s000,位于繁忙街道，方便前往奥兰多所有区域。,1,1,2,
q031,A_base_4b_grounded,98bd44439ff5,0389b211be86be67_s000,靠近奥兰多桑福德国际机场，交通十分便捷。,1,1,2,
q032,A_base_4b_grounded,98bd44439ff5,46202b133789e043_s000,客人评价酒店非常干净。,1,1,2,
q032,A_base_4b_grounded,98bd44439ff5,0389b211be86be67_s000,位置便利，靠近机场且方便前往奥兰多各处。,1,1,2,
q032,A_base_4b_grounded,e0eeae8afde3,4518e9b0cfe37353_s001,房间宽敞且干净。,1,1,2,
q032,A_base_4b_grounded,e0eeae8afde3,260ed33340e4cf63_s005,位置极佳，可步行至餐厅并乘坐公交前往奥兰多各地。,1,1,2,
q033,A_base_4b_grounded,cabad4abd2ba,76a8765f4e44d95a_s001,员工友好且乐于助人,1,1,2,
q033,A_base_4b_grounded,cabad4abd2ba,df6918937fa1eee4_s001,员工礼貌且积极服务,1,1,2,
