query_id,group_id,hotel_id,aspect,sentence_id,reason_text,citation_exists,in_current_evidence_pack,support_score,notes
q001,B_peft_4b_grounded,bfb10d66f821,location_transport,68d99b391b76ab76_s000,酒店位置非常便利，靠近 Honda Center、Anaheim 体育场、餐厅和星巴克。,1,1,2,
q001,B_peft_4b_grounded,bfb10d66f821,location_transport,58a03e970d581959_s000,酒店位置方便，靠近 Angels Stadium 和 Honda Center。,1,1,2,
q002,B_peft_4b_grounded,bfb10d66f821,cleanliness,748a79568a9e9fa0_s002,房间干净舒适，酒店安静。,1,1,2,
q002,B_peft_4b_grounded,bfb10d66f821,location_transport,68d99b391b76ab76_s000,位置非常便利，靠近 Honda Center、Anaheim 体育场、餐厅和星巴克。,1,1,2,
q003,B_peft_4b_grounded,bfb10d66f821,quiet_sleep,a50fcbdf6353e969_s010,要求换到安静区域后，整晚非常安静。,1,1,2,
q003,B_peft_4b_grounded,bfb10d66f821,service,2243716f0809f255_s002,员工非常友好且乐于助人。,1,1,2,
q006,B_peft_4b_grounded,72a9d2fbc96c,cleanliness,e22a5ff4dbceef13_s002,房间非常干净舒适。,1,1,2,
q006,B_peft_4b_grounded,72a9d2fbc96c,cleanliness,d3fba028798a6643_s002,房间干净舒适。,1,1,2,
q006,B_peft_4b_grounded,bd1ba974bf11,cleanliness,a9b0347bca5861dc_s001,房间非常干净舒适。,1,1,2,
q006,B_peft_4b_grounded,bd1ba974bf11,cleanliness,789e445a28355d5c_s004,酒店总是干净且设施齐全。,1,1,2,
q007,B_peft_4b_grounded,72a9d2fbc96c,cleanliness,e22a5ff4dbceef13_s002,房间非常干净舒适。,1,1,2,
q007,B_peft_4b_grounded,72a9d2fbc96c,service,4f7e030a6132d7b7_s005,前台总是友好欢迎。,1,1,2,
q007,B_peft_4b_grounded,bd1ba974bf11,cleanliness,a9b0347bca5861dc_s001,房间非常干净舒适。,1,1,2,
q007,B_peft_4b_grounded,bd1ba974bf11,service,877849bcb709f0bd_s002,员工都很友好乐于助人。,1,1,2,
q008,B_peft_4b_grounded,e73773333429,quiet_sleep,9eb6d3fc17f2c35f_s004,房间安静舒适，适合好眠。,1,1,2,
q008,B_peft_4b_grounded,e73773333429,room_facilities,9eb6d3fc17f2c35f_s003,房间宽敞现代，设施完善。,1,1,2,
q008,B_peft_4b_grounded,bd1ba974bf11,room_facilities,6753a5bd8dd814c9_s002,房间基础但无明显问题。,1,1,2,
q011,B_peft_4b_grounded,79c2d98fa1cb,service,a9b31551cfbd228d_s000,入住流程顺畅，员工友好。,1,1,2,
q011,B_peft_4b_grounded,79c2d98fa1cb,service,58dc0b366217a240_s014,整体服务与设施都很不错。,1,1,2,
q011,B_peft_4b_grounded,7669c6fc99e7,service,70f5d5d92e74cd50_s002,前台员工非常友好且乐于助人。,1,1,2,
q011,B_peft_4b_grounded,7669c6fc99e7,service,26297e902507438d_s002,员工提供建议，服务很周到。,1,1,2,
q012,B_peft_4b_grounded,7669c6fc99e7,room_facilities,60c4e5df8c859e75_s000,房间宽敞舒适，视野极佳。,1,1,2,
q012,B_peft_4b_grounded,7669c6fc99e7,service,70f5d5d92e74cd50_s002,前台员工友好且乐于助人。,1,1,2,
q012,B_peft_4b_grounded,79c2d98fa1cb,room_facilities,c406dcc729c5503f_s002,房间大小适中，设施不错。,1,1,2,
q012,B_peft_4b_grounded,79c2d98fa1cb,service,58dc0b366217a240_s014,入住流程顺畅，服务良好。,1,1,2,
q013,B_peft_4b_grounded,79c2d98fa1cb,quiet_sleep,64a198c9f6ff9412_s029,客人提到睡眠是商务旅行的基本需求，暗示酒店在睡眠方面有一定保障。,1,1,2,
q016,B_peft_4b_grounded,85a18ed72b1c,room_facilities,9a164e5741f44370_s000,房间装饰精美且干净舒适。,1,1,2,
q016,B_peft_4b_grounded,85a18ed72b1c,room_facilities,75cd712953cb206b_s004,床铺非常舒适。,1,1,2,
q016,B_peft_4b_grounded,d30be52b2a2a,room_facilities,e2c6fdca4d0b4650_s002,套房空间大且布局合理。,1,1,2,
q016,B_peft_4b_grounded,d30be52b2a2a,room_facilities,923ad2587b7f310c_s000,房间尺寸很大。,1,1,2,
q017,B_peft_4b_grounded,85a18ed72b1c,room_facilities,9a164e5741f44370_s000,房间装饰漂亮、干净舒适，设施齐全。,1,1,2,
q017,B_peft_4b_grounded,85a18ed72b1c,quiet_sleep,74253f6620c5c202_s005,房间安静，即使靠近高速公路也能保证睡眠。,1,1,2,
q017,B_peft_4b_grounded,d30be52b2a2a,room_facilities,e2c6fdca4d0b4650_s002,房间空间大，布局舒适。,1,1,2,
q017,B_peft_4b_grounded,d30be52b2a2a,quiet_sleep,e2c6fdca4d0b4650_s003,街道有一定噪音，但整体休息尚可。,1,1,2,
q018,B_peft_4b_grounded,d30be52b2a2a,quiet_sleep,e2c6fdca4d0b4650_s003,街道噪音可控，整体休息体验愉快。,1,1,2,
q018,B_peft_4b_grounded,d30be52b2a2a,value,f5b07d7fd5826db0_s008,价格合理，是不错的过夜选择。,1,1,2,
q018,B_peft_4b_grounded,85a18ed72b1c,quiet_sleep,74253f6620c5c202_s005,房间安静，即使靠近高速公路也能保证睡眠。,1,1,2,
q023,B_peft_4b_grounded,9e8bc983cff4,location_transport,06ebb7d7792a3c37_s006,位置靠近购物中心和咖啡馆，步行约 20-30 分钟即可到达。,1,1,2,
q023,B_peft_4b_grounded,9e8bc983cff4,quiet_sleep,51715f1f263e4378_s000,酒店位于 Waikiki 北端，远离中央 Waikiki 的喧嚣。,1,1,1,
q026,B_peft_4b_grounded,75334fbbe64c,value,bfadf45508eb134c_s000,客人多次提到酒店价格合适且物超所值。,1,1,2,
q026,B_peft_4b_grounded,75334fbbe64c,value,30d4c81010a302e8_s018,酒店在性价比方面被评价为非常突出。,1,1,2,
q026,B_peft_4b_grounded,445d9279fa58,value,71affa8502040f0d_s000,尽管新奥尔良住宿普遍较贵，但该酒店价格合理。,1,1,2,
q026,B_peft_4b_grounded,445d9279fa58,value,74fb427c464da0e5_s005,被认为是法国区内最划算的住宿选择。,1,1,2,
