sentence_id,hotel_id,city,sentence_text,aspect_gold,sentiment_gold,is_multi_aspect,notes
113c3730417b5e70_s001,98bd44439ff5,Orlando,"First of all, it was very clean.",,,,
16b272bc9f3ff9e1_s010,75334fbbe64c,New Orleans,"When we came back to the room after the repair, toilet water was everywhere all over the floor and the maintenance guy used one of our towels to drag around the floor and left it in the bathroom. GROSS.",,,,
1ba6f1bee9ad83ab_s017,85a18ed72b1c,Dallas,The inside of the room and the whole property are incredibly dated and dirty.,,,,
1f16fe443f9cb1e0_s002,445d9279fa58,New Orleans,Rooms were quiet and clean.,,,,
3141e00ddd68a717_s004,d702791f5180,San Francisco,"Bottom line- if you are looking for somewhere clean and affordable, this place is fine, just don't plan to spend time in the few blocks around the hotel.",,,,
446fe4eb31b44e7a_s000,98bd44439ff5,Orlando,Older hotel. Always clean. Staff is always pleasant.,,,,
47d37e7b81722d8a_s019,79c2d98fa1cb,Chicago,Nice big and clean rooms.,,,,
59fef9b11f60aa6a_s006,79c2d98fa1cb,Chicago,"While there is no pool or great views this hotel is incredibly comfortable, clean and easy to get to.",,,,
6b49e4f8284fad82_s001,f6c6d40a783b,San Francisco,"Rooms are clean, staff is exceptionally helpful.",,,,
6eda60bbb07c8e50_s009,4ba7bdc9b246,San Diego,The common areas were very nice and clean.,,,,
6eda60bbb07c8e50_s010,4ba7bdc9b246,San Diego,They had beach toys for use and showers with hot water at the entrance form the beach so you can wash off the beach in comfort.,,,,
7c4d1cb23d0ec652_s002,f6c6d40a783b,San Francisco,The place was neat as well:I will deff be recommending this hotel and coming back. Wow!,,,,
7f48b8079a8962cc_s007,bfb10d66f821,Anaheim,Later I realized I had left on my white socks and thought the bottoms would be pretty dirty.,,,,
82680d87b3afd8b2_s008,e0eeae8afde3,Orlando,We did get towels and was told they would bring the washcloths.,,,,
89a1971136059dc5_s001,98bd44439ff5,Orlando,The floor was dirty.,,,,
8ca4d38a9dbaa0a0_s001,4ba7bdc9b246,San Diego,"Price is right, clean rooms with great parking.",,,,
96af034e1c3f79ee_s002,7213d9173df3,San Diego,"Breakfast was also very good, rooms clean and overall appearance of the facility was impressive to say the least.",,,,
9a7f4fd030eb2f77_s001,b115571efdc5,San Diego,It was clean and updated.,,,,
9c0bcdc0f4368d68_s002,4ba7bdc9b246,San Diego,"Rooms are good, clean and great customer service.",,,,
9c78a12e85ab461d_s001,445d9279fa58,New Orleans,"The rooms were clean, the hotel was good, the breakfast above average.",,,,
9cf7b10b24ae775c_s003,445d9279fa58,New Orleans,"Room was clean, beds were comfortable, reception staff pleasant, helpful and accommodating.",,,,
9e0364c2789e7a97_s000,9e8bc983cff4,Honolulu,"Although looking dated, the hotel was clean and in a good location for Waikiki.",,,,
a2b8214f471192b1_s006,445d9279fa58,New Orleans,The street where the hotel sits is under major construction so lobby and bar are covered in dust.,,,,
a2b8214f471192b1_s013,445d9279fa58,New Orleans,Our water goes through a water softener which will make it feel like it is still on you after you have rinsed.,,,,
a93f038b9f40faae_s005,4ba7bdc9b246,San Diego,"The staff was really helpful and friendly, the room was clean, the shower felt great, and I had everything that I needed was there.",,,,
a9c47ae83e4791ba_s005,75334fbbe64c,New Orleans,"The room was clean, large and comfortable.",,,,
aeecdc107fc6ff26_s003,e73773333429,Atlanta,"Lunch buffet although tasty is no where worth 22.00 for 2 meats , 2 vegetables and salad.pool and hot tub were gross.",,,,
aeecdc107fc6ff26_s004,e73773333429,Atlanta,A dirty film covered the water.,,,,
b4de79add004e8f3_s001,445d9279fa58,New Orleans,Very cleaned Outside and inside.,,,,
b646d1b44374b892_s007,f6c6d40a783b,San Francisco,Hotel ran out of washcloths our second night (can you believe that!) 3.),,,,
b8e4edf020194ebb_s007,4ba7bdc9b246,San Diego,Loved the fresh fruit upon checking in.,,,,
be90326d3c9cf0f5_s004,4ba7bdc9b246,San Diego,Rooms are clean and comfortable.,,,,
bf1e1f8c33d00598_s003,f6c6d40a783b,San Francisco,"Room was clean, modern, and very comfortable albeit a few creaking floorboards.",,,,
c1fdb85f8a387fe4_s001,445d9279fa58,New Orleans,The room was clean and had everything we wanted.,,,,
c25e621e281b296f_s029,4ba7bdc9b246,San Diego,"However, there were several varieties of fresh bagels, packaged pastries, toast, butter, jelly's, cream cheese, fresh fruits, cereals, coffee, juice and milk.",,,,
c25e621e281b296f_s034,4ba7bdc9b246,San Diego,"Again, having walked up and down the boardwalk, there are some really trashy places to stay - including the Best Western that are old, outdated, filthy and run down.",,,,
cacc2fc94a058fc2_s002,84953c35a9d0,San Francisco,The room was spacious and very clean.,,,,
d1688887cb692796_s002,7213d9173df3,San Diego,The room was clean.,,,,
dd86959643a55681_s004,7213d9173df3,San Diego,Room was very clean and everything works as it should.,,,,
e066a775348f5413_s000,98bd44439ff5,Orlando,"Nice, clean, well maintained property with an exceptionally pleasant and helpful staff.",,,,
e4ef84bc184f5625_s003,75fef46b9663,Seattle,"Excellent customer service!This is an updated classic semi-luxurious hotel - I personally love the building, the hotel classic decor and settings, the room is updated and yet classy, clean, spacious and unlike other old hotels, it does not have that 'moldy' carpet smell.",,,,
e826601b8498f86f_s005,f6c6d40a783b,San Francisco,We take cleanliness very seriously and I will report this feedback to our team to help us improve. Thanks again.,,,,
e850e11d2a225644_s006,bfb10d66f821,Anaheim,I expect them to be clean.,,,,
ea2ad03fcef8dc40_s000,e0eeae8afde3,Orlando,"I was very dubious after reading some previous reviews on this Hotel, but with the price we paid for a 2 week holiday for we just hoped that the Hotel was comfortable and clean and we was not disappointed, yes it may not have been the Ritz but it was very clean and the beds were extremley comfortable just what you need after trudging round the theme parks all day, we only had the free breakfast a couple of times as you could get a full buffet breakfast for under 5 at any of the eateries alomg International Drive.",,,,
eb5508bc0208ba83_s003,98bd44439ff5,Orlando,"The corridors were old and need of an update, dirty and smelly.",,,,
ecfe64fccb3ff3a0_s004,62fa571ddd54,San Diego,"Dear mrshibariplay,We recognize your time is valuable and appreciate the feedback you have provided us regarding your most recent stay.. Maintaining a fresh atmosphere within our guest rooms and common areas is always a key priority.",,,,
edcc3b6e8e8d4d0c_s003,7213d9173df3,San Diego,"Internet work well, food was good, room was clean and quiet.",,,,
f8f2ed3be89dc73a_s000,98bd44439ff5,Orlando,"Good customer service , room clean, quiet , nice are but one thing difrent information on site than what they give you on the phone.",,,,
ff9750340fa54bac_s002,1bb0433b9fb8,San Diego,It was clean and is located near the airport.,,,,
ffb2d99e441a15d9_s005,b115571efdc5,San Diego,Our house keeping team works very hard to make sure the rooms are in the best conditions for all of our guests.,,,,
062f653298e92cde_s012,445d9279fa58,New Orleans,"It does take some getting used to, but spending time in New Orleans is worth it!!We are a unique property in a unique location and our goal is to by anything but typical!",,,,
080980bc15b1ea6b_s000,5ac72eb101c1,Seattle,"Great place, walking distance to good food and the Space Needle.",,,,
0d5a1bcb95dcd8a1_s002,445d9279fa58,New Orleans,"I would have liked to be just a little closer for safe walking, but we were fine .",,,,
11469232bbe8f2a3_s000,1bb0433b9fb8,San Diego,Over and above all other 5* reviews I wish to emphasize that everything is adapted and accessible!,,,,
1b1fece8ca00ba29_s004,4ba7bdc9b246,San Diego,The pool area was immaculate.,,,,
22ddfcd6212d702b_s001,79c2d98fa1cb,Chicago,We chose this hotel because it was close to the Airport (Midway) the United Center.,,,,
26468a74a54261c2_s001,4ba7bdc9b246,San Diego,I looked at many of the hotels in the area right on the beach and most were about the same price as this one.,,,,
2b0334f2b4b1a78a_s003,4ba7bdc9b246,San Diego,The pool area is great with direct access to the board-walk and beach.,,,,
30696fdfd1d780bd_s002,75334fbbe64c,New Orleans,One item that could be a disadvantage for families with young children is the Continential Breakfast is served in your room .Very helpful and informative staff assisted me with tours and where to visit .Like most hotels near the French Quarter parking is a problem and in addition to there Valet parking there is a public car park right opposite the hotel.,,,,
30d4c81010a302e8_s019,75334fbbe64c,New Orleans,"Clean beds, reasonable sized rooms, really good location, complementary small breakfast.",,,,
31cf297c24ae081c_s005,4ba7bdc9b246,San Diego,"The pool area is great for the kids to play in, the continental breakfast is good and the recently updated bathrooms are a nice touch.",,,,
3235ff8cd81a8826_s009,e0eeae8afde3,Orlando,"just remembered....the day we checked out and left our luggage in the 'secure' area, we got the feeling that it wasn't so as the hotel employed no way of identifying your bag so anyone could have lifted ours but thankfully we had locks.",,,,
34bb1f0944d55893_s000,75334fbbe64c,New Orleans,Attractive old hotel about 10 minute walk from the French quarter.,,,,
4043380019dbccf2_s002,75334fbbe64c,New Orleans,Price was reasonable and the location is great.,,,,
4a1973331fd80181_s012,4ba7bdc9b246,San Diego,"Weekends around the hotel seem to attract a very large and lively college age group to the bars and surrounding area, however it all calms down the next day and week day nights.",,,,
50445e282a418b99_s008,98bd44439ff5,Orlando,Location very central for out,,,,
559744647f578217_s001,4ba7bdc9b246,San Diego,Its located right next to Pacific Beach and walking distance to many places to eat and drink.,,,,
5ce51e8349df8829_s000,75334fbbe64c,New Orleans,"Just outside the French quarter, close to all tourist areas, near to public transport, grocery stores and plenty of restaurants.",,,,
6acfea980e0ab8a9_s001,445d9279fa58,New Orleans,"From the staff to the facilities from the great location within easy walking distance to all the action in the French Quarter to the ambience, this hotel is the place to stay.",,,,
711bd187a9077ded_s002,bfb10d66f821,Anaheim,But being in the area it was located it was more of a family location than a business one.,,,,
74253f6620c5c202_s002,85a18ed72b1c,Dallas,The only complaint we had was that it is on a one way street and forever having to go under a freeway twice to get going the right way into the hotel.,,,,
75cd712953cb206b_s000,85a18ed72b1c,Dallas,This hotel is only a few minutes from Dallas love field.,,,,
7d08537c9c9697d3_s013,75334fbbe64c,New Orleans,"I hope you visit with us in the near future, we appreciate your business.",,,,
83b87649ba744010_s006,f6c6d40a783b,San Francisco,"It is in the middle of union square just walking distance to bars, restaurants, all the shopping you could want and of course Ruby Skye and the Starlight room if you're into those popular attractions.",,,,
877849bcb709f0bd_s001,bd1ba974bf11,Atlanta,What sets this location apart form anything else is the attitude of the staff.,,,,
89361c22dccb7e08_s003,4ba7bdc9b246,San Diego,"The hotel is literally steps to the ocean, and there are plenty of bars and restaurants in walking distance.",,,,
8a92e81b2a828ecf_s001,75334fbbe64c,New Orleans,Centrally located.,,,,
