review_item_id,query_bundle_id,blind_label,query_text_zh,response_text,overall_quality_score,evidence_credibility_score,practical_value_score,reviewer_notes,available_blind_labels,pairwise_preference,pairwise_notes
blind_001_B,bundle_001,B,请推荐Anaheim位置交通和卫生干净都不错的酒店。,"Summary: 推荐TownePlace Suites Anaheim，交通与卫生均获好评。
Recommendations:
1. TownePlace Suites Anaheim Maingate Near Angel Stadium - 房间宽敞且干净，酒店本身整洁舒适。 | 位置便利，靠近Honda Center、Anaheim体育场及餐厅。",,,,,,,
blind_001_D,bundle_001,D,请推荐Anaheim位置交通和卫生干净都不错的酒店。,"Summary: 推荐TownePlace Suites Anaheim，交通与卫生均获好评。
Recommendations:
1. TownePlace Suites Anaheim Maingate Near Angel Stadium - 房间干净舒适，酒店环境整洁。 | 位置便利，靠近本田中心及天使体育场。",,,,,,,
blind_001_C,bundle_001,C,请推荐Anaheim位置交通和卫生干净都不错的酒店。,"Summary: 推荐Anaheim交通与卫生俱佳的酒店。
Recommendations:
1. TownePlace Suites Anaheim Maingate Near Angel Stadium - 房间宽敞且干净舒适。 | 位置便利，靠近体育场和餐厅。",,,,,,,
blind_001_A,bundle_001,A,请推荐Anaheim位置交通和卫生干净都不错的酒店。,"Summary: 推荐Anaheim交通与卫生俱佳酒店。
Recommendations:
1. TownePlace Suites Anaheim Maingate Near Angel Stadium - 房间干净舒适，环境安静。 | 位置便利，靠近体育场和餐厅。",,,,,,,
blind_002_C,bundle_002,C,我在Anaheim想住得安静一点，但不要服务太差的酒店。,"Summary: 该酒店安静舒适，但服务评价不足。
Recommendations:
1. TownePlace Suites Anaheim Maingate Near Angel Stadium - 房间干净舒适，酒店安静。
Unsupported notice: 用户要求避免服务差，但现有证据中关于服务的描述均为正面或中性，缺乏负面证据支持该偏好，故仅推荐满足安静需求的酒店。",,,,,,,
blind_002_B,bundle_002,B,我在Anaheim想住得安静一点，但不要服务太差的酒店。,"Summary: 该酒店安静且服务良好，符合用户偏好。
Recommendations:
1. TownePlace Suites Anaheim Maingate Near Angel Stadium - 用户主动要求移至庭院侧后，其余住宿期间非常安静。 | 服务与其他万豪品牌一致，员工友好且乐于助人。",,,,,,,
blind_002_A,bundle_002,A,我在Anaheim想住得安静一点，但不要服务太差的酒店。,"Summary: 推荐安静睡眠好且服务可靠的Anaheim酒店。
Recommendations:
1. TownePlace Suites Anaheim Maingate Near Angel Stadium - 房间安静舒适，适合好睡眠。 | 整体评价很好，服务令人满意。",,,,,,,
blind_002_D,bundle_002,D,我在Anaheim想住得安静一点，但不要服务太差的酒店。,"Summary: 推荐安静睡眠好且服务优秀的Anaheim酒店。
Recommendations:
1. TownePlace Suites Anaheim Maingate Near Angel Stadium - 要求换房后休息非常安静。 | 员工友好且乐于助人。",,,,,,,
blind_003_B,bundle_003,B,帮我找Anaheim预算在 600 元以内，而且位置交通不错的酒店。,"Summary: 推荐交通便利的Anaheim酒店，预算支持不足。
Recommendations:
1. TownePlace Suites Anaheim Maingate Near Angel Stadium - 位置非常便利，靠近Honda Center和Anaheim体育场。
Unsupported notice: 用户要求的600元以内预算在证据中未找到支持。",,,,,,,
blind_003_D,bundle_003,D,帮我找Anaheim预算在 600 元以内，而且位置交通不错的酒店。,"Summary: 推荐交通便利的Anaheim酒店，但预算支持不足。
Recommendations:
1. TownePlace Suites Anaheim Maingate Near Angel Stadium - 位置非常便利，靠近Honda Center和Anaheim体育场。
Unsupported notice: 用户要求的600元以内预算在证据中未得到支持。",,,,,,,
