query_id,group_id,question,answerable_score,targeted_score,notes
q051,A_rule_clarify,请先告诉我你想入住哪个城市？,2,2,缺城市直问 简洁可答
q052,A_rule_clarify,请先告诉我你想入住哪个城市？,2,2,缺城市直问 简洁可答
q053,A_rule_clarify,请先告诉我你想入住哪个城市？,2,2,缺城市直问 简洁可答
q054,A_rule_clarify,请先告诉我你想入住哪个城市？,2,2,缺城市直问 简洁可答
q055,A_rule_clarify,请先告诉我你想入住哪个城市？,2,2,缺城市直问 简洁可答
q056,A_rule_clarify,请先告诉我你想入住哪个城市？,2,2,缺城市直问 简洁可答
q057,A_rule_clarify,你同时把 location_transport 设为重点和避免项，能再明确你真正更在意哪一边吗？,1,2,命中冲突方面 但直接使用schema英文标签 自然度一般
q058,A_rule_clarify,你同时把 cleanliness 设为重点和避免项，能再明确你真正更在意哪一边吗？,1,2,命中冲突方面 但直接使用schema英文标签 自然度一般
q059,A_rule_clarify,你同时把 service 设为重点和避免项，能再明确你真正更在意哪一边吗？,1,2,命中冲突方面 但直接使用schema英文标签 自然度一般
q060,A_rule_clarify,你同时把 room_facilities 设为重点和避免项，能再明确你真正更在意哪一边吗？,1,2,命中冲突方面 但直接使用schema英文标签 自然度一般
q061,A_rule_clarify,你同时把 quiet_sleep 设为重点和避免项，能再明确你真正更在意哪一边吗？,1,2,命中冲突方面 但直接使用schema英文标签 自然度一般
q062,A_rule_clarify,你同时把 value 设为重点和避免项，能再明确你真正更在意哪一边吗？,1,2,命中冲突方面 但直接使用schema英文标签 自然度一般
q063,A_rule_clarify,你同时把 location_transport 设为重点和避免项，能再明确你真正更在意哪一边吗？,1,2,命中冲突方面 但直接使用schema英文标签 自然度一般
q064,A_rule_clarify,你同时把 cleanliness 设为重点和避免项，能再明确你真正更在意哪一边吗？,1,2,命中冲突方面 但直接使用schema英文标签 自然度一般
q065,A_rule_clarify,你同时把 service 设为重点和避免项，能再明确你真正更在意哪一边吗？,1,2,命中冲突方面 但直接使用schema英文标签 自然度一般
q066,A_rule_clarify,你同时把 room_facilities 设为重点和避免项，能再明确你真正更在意哪一边吗？,1,2,命中冲突方面 但直接使用schema英文标签 自然度一般
q051,B_base_llm_clarify,请先告诉我你想入住哪个城市？,2,2,论文正例候选 缺城市直问 简洁且高度可答
q052,B_base_llm_clarify,请先告诉我你想入住哪个城市？,2,2,缺城市直问 简洁可答
q053,B_base_llm_clarify,请先告诉我你想入住哪个城市？,2,2,缺城市直问 简洁可答
q054,B_base_llm_clarify,请先告诉我你想入住哪个城市？,2,2,缺城市直问 简洁可答
q055,B_base_llm_clarify,请先告诉我你想入住哪个城市？,2,2,缺城市直问 简洁可答
q056,B_base_llm_clarify,请先告诉我你想入住哪个城市？,2,2,缺城市直问 简洁可答
q057,B_base_llm_clarify,你是更看重位置交通，还是希望不要太强调位置交通？请再明确一下。,2,2,论文正例候选 冲突澄清自然 直接要求用户二选一
q058,B_base_llm_clarify,你是更看重卫生干净，还是希望不要太强调卫生干净？请再明确一下。,2,2,中文方面名自然 问题聚焦
q059,B_base_llm_clarify,你是更看重服务很好，还是希望不要太强调服务？请再明确一下。,2,2,中文方面名自然 问题聚焦
q060,B_base_llm_clarify,你是更看重房间设施，还是希望不要太强调房间设施？请再明确一下。,2,2,中文方面名自然 问题聚焦
q061,B_base_llm_clarify,你是更看重安静睡眠，还是希望不要太强调安静睡眠？请再明确一下。,2,2,中文方面名自然 问题聚焦
q062,B_base_llm_clarify,你是更看重性价比，还是希望不要太强调性价比？请再明确一下。,2,2,论文边界例候选 性价比双向约束最绕 但问题仍较聚焦
q063,B_base_llm_clarify,你是更看重位置交通，还是希望不要太强调位置交通？请再明确一下。,2,2,中文方面名自然 问题聚焦
q064,B_base_llm_clarify,你是更看重卫生干净，还是希望不要太强调卫生干净？请再明确一下。,2,2,中文方面名自然 问题聚焦
q065,B_base_llm_clarify,你是更看重服务很好，还是希望不要太强调服务？请再明确一下。,2,2,中文方面名自然 问题聚焦
q066,B_base_llm_clarify,你是更看重房间设施，还是希望不要太强调房间设施？请再明确一下。,2,2,中文方面名自然 问题聚焦
